epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,1.4714797303009033,0.45372,1.1901960327148438,0.568,0.568,82.32307076454163
2,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,1.0013469459152222,0.64074,0.9642322533607482,0.6607,0.6607,81.92167210578918
3,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.7759578197860718,0.7266,0.7658440342903137,0.731,0.731,82.05994606018066
4,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.641770493888855,0.77552,0.6684262259483338,0.7707,0.7707,82.07784986495972
5,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.5505090201187134,0.8101,0.6296064663410187,0.7861,0.7861,81.81605625152588
6,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.4887767352104187,0.83342,0.571451706790924,0.8055,0.8055,81.92518377304077
7,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.43869110772132874,0.85154,0.5422207859039306,0.8164,0.8164,81.99526333808899
8,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.3952767079639435,0.8654,0.4781492790222168,0.8401,0.8401,82.02748894691467
9,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.3591816082572937,0.8796,0.46407241249084474,0.8463,0.8463,82.02948093414307
10,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.33268457273483276,0.88928,0.45633842639923095,0.8509,0.8509,81.99685788154602
11,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.3063215537548065,0.89804,0.4209315153121948,0.8574,0.8574,82.04588174819946
12,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.28371041823863985,0.90702,0.418365722322464,0.8585,0.8585,82.08133959770203
13,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.25964307354927063,0.91426,0.4212992177963257,0.8614,0.8614,82.09912991523743
14,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.24199092262268065,0.92176,0.39775091681480407,0.8704,0.8704,82.06028151512146
15,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.22830356852054595,0.92598,0.3794829678535461,0.8739,0.8739,81.94399619102478
16,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.20984486880779266,0.93334,0.40646372485160825,0.8697,0.8739,82.01479172706604
17,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.19642724442481996,0.93814,0.4242528866291046,0.8637,0.8739,82.03975200653076
18,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.18493059961795807,0.94232,0.3621079899072647,0.8843,0.8843,82.02313303947449
19,stage2,resnet18,sam,0.01,0.9,0.0005,0.01,0.17249094096899031,0.94744,0.3386067766189575,0.8916,0.8916,81.99798059463501
