epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,1.5076558264541626,0.44484,1.2939180156707764,0.5427,0.5427,119.65544438362122
2,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,1.0544362547111512,0.62284,0.9656717575073243,0.6619,0.6619,119.42678475379944
3,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.8095528934288025,0.71584,0.7529741862297058,0.7347,0.7347,119.57006311416626
4,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.6471455367660522,0.7766,0.6923867839813233,0.7597,0.7597,119.42591714859009
5,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.5410681952667237,0.81526,0.5885725044250488,0.7983,0.7983,119.63981795310974
6,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.47252318101882934,0.84108,0.6024842057704926,0.7948,0.7983,119.59726238250732
7,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.4122173823642731,0.86096,0.5291622185707092,0.8196,0.8196,119.31883406639099
8,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.3663415703392029,0.87788,0.49758268418312074,0.8311,0.8311,119.39334654808044
9,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.33206660873413085,0.8912,0.4875281167030334,0.8389,0.8389,119.34821200370789
10,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.3058382158613205,0.8993,0.46957104978561404,0.8416,0.8416,119.4170470237732
11,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.2786665240573883,0.90906,0.4924095849990845,0.8431,0.8431,119.28461217880249
12,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.2512742690038681,0.91914,0.44806976385116576,0.8534,0.8534,119.37755751609802
13,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.230360214138031,0.9259,0.4037068863391876,0.8662,0.8662,119.38607573509216
14,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.21425824114084244,0.93238,0.42866942052841184,0.8593,0.8662,119.46400880813599
15,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.19844581007480622,0.938,0.3862637480735779,0.8743,0.8743,119.03662824630737
16,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.1839268452811241,0.94182,0.3689168469429016,0.8792,0.8792,119.39929604530334
17,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.16704415986537932,0.94944,0.3685287706375122,0.8807,0.8807,119.44812726974487
18,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.15474370347976685,0.95268,0.36046301307678225,0.8866,0.8866,119.53225231170654
19,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.14289918241977692,0.95732,0.3628053084850311,0.8858,0.8866,119.62007403373718
20,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.13269340500354768,0.96102,0.3491085210800171,0.8882,0.8882,119.11287689208984
21,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.12296902413845062,0.9646,0.3466735129356384,0.888,0.8882,119.62358260154724
22,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.11666130073070526,0.96652,0.334602206993103,0.8944,0.8944,119.26495909690857
23,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.11078991422653198,0.96946,0.35015567183494567,0.889,0.8944,119.1329550743103
24,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.10357685006856919,0.97192,0.3312260591506958,0.8963,0.8963,118.95511269569397
25,stage2,resnet34,sam,0.01,0.9,0.0005,0.01,0.09560747494220734,0.97408,0.3304292531490326,0.897,0.897,119.32910299301147
