epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet34,adagrad,0.1,,0.0005,,2.1128549961090086,0.26114,1.8392666584014892,0.2956,0.2956,64.72683668136597
2,stage2,resnet34,adagrad,0.1,,0.0005,,1.5780010063171386,0.41918,1.665972322845459,0.38,0.38,64.6658387184143
3,stage2,resnet34,adagrad,0.1,,0.0005,,1.3556344290161133,0.51446,1.6528873929977417,0.3988,0.3988,64.58885669708252
4,stage2,resnet34,adagrad,0.1,,0.0005,,1.1503272452163695,0.5982,1.4758249923706055,0.4666,0.4666,64.54466319084167
5,stage2,resnet34,adagrad,0.1,,0.0005,,0.9240149079895019,0.69286,1.1703067493438721,0.5721,0.5721,64.5819182395935
6,stage2,resnet34,adagrad,0.1,,0.0005,,0.7352979740905762,0.77284,1.6375684238433839,0.459,0.5721,64.6222620010376
7,stage2,resnet34,adagrad,0.1,,0.0005,,0.5839687127876282,0.83346,1.2661054531097413,0.5807,0.5807,64.57774996757507
8,stage2,resnet34,adagrad,0.1,,0.0005,,0.47593474899291993,0.8756,1.048444543647766,0.6386,0.6386,64.55332684516907
9,stage2,resnet34,adagrad,0.1,,0.0005,,0.39968753042221067,0.90198,0.9122374263763428,0.6779,0.6779,64.59603381156921
10,stage2,resnet34,adagrad,0.1,,0.0005,,0.3440595611858368,0.92018,0.9813135153770447,0.6817,0.6817,64.59911012649536
11,stage2,resnet34,adagrad,0.1,,0.0005,,0.31110757961273194,0.93074,0.9184422366142273,0.7094,0.7094,64.54937028884888
12,stage2,resnet34,adagrad,0.1,,0.0005,,0.28455004978656767,0.9369,0.9204980825424194,0.7069,0.7094,64.50462746620178
13,stage2,resnet34,adagrad,0.1,,0.0005,,0.2638183561372757,0.94288,0.6471088626861572,0.7743,0.7743,64.60234451293945
14,stage2,resnet34,adagrad,0.1,,0.0005,,0.24736135145664215,0.94642,0.6876788158416748,0.7631,0.7743,64.54430341720581
15,stage2,resnet34,adagrad,0.1,,0.0005,,0.2375470370864868,0.94966,0.7219479513168335,0.7535,0.7743,64.48871994018555
16,stage2,resnet34,adagrad,0.1,,0.0005,,0.22227689365386963,0.95252,0.6205779738426208,0.7911,0.7911,64.52099347114563
17,stage2,resnet34,adagrad,0.1,,0.0005,,0.20536691446781158,0.95872,0.6004210052490234,0.7956,0.7956,64.58470869064331
18,stage2,resnet34,adagrad,0.1,,0.0005,,0.19574946185112,0.9613,0.710636857509613,0.7576,0.7956,64.11723351478577
19,stage2,resnet34,adagrad,0.1,,0.0005,,0.19007453236103058,0.96254,0.6674938485145568,0.786,0.7956,64.1299786567688
20,stage2,resnet34,adagrad,0.1,,0.0005,,0.1805550860118866,0.96384,0.5911248819351196,0.7952,0.7956,64.2006402015686
21,stage2,resnet34,adagrad,0.1,,0.0005,,0.1751242690873146,0.9651,0.5452046374320983,0.8146,0.8146,64.18202567100525
22,stage2,resnet34,adagrad,0.1,,0.0005,,0.16614536560058593,0.96838,0.5610644167900085,0.8147,0.8147,64.49534225463867
23,stage2,resnet34,adagrad,0.1,,0.0005,,0.1625308558821678,0.9686,0.5659604284286499,0.8078,0.8147,64.47104001045227
24,stage2,resnet34,adagrad,0.1,,0.0005,,0.15508780801296235,0.97104,0.595956753063202,0.8047,0.8147,64.58989357948303
25,stage2,resnet34,adagrad,0.1,,0.0005,,0.15065640920162202,0.97176,0.5368486948013306,0.8205,0.8205,64.55165123939514
26,stage2,resnet34,adagrad,0.1,,0.0005,,0.1433144659471512,0.97322,0.5500531819343567,0.819,0.8205,64.11056208610535
27,stage2,resnet34,adagrad,0.1,,0.0005,,0.14006816385030746,0.97368,0.6412633027076721,0.7925,0.8205,64.12317395210266
28,stage2,resnet34,adagrad,0.1,,0.0005,,0.13400567642211914,0.97568,0.5308345761299134,0.8289,0.8289,64.22349333763123
29,stage2,resnet34,adagrad,0.1,,0.0005,,0.1330907869386673,0.97612,0.5083202928543091,0.8247,0.8289,64.15237426757812
30,stage2,resnet34,adagrad,0.1,,0.0005,,0.12733306516647339,0.97774,0.5274973417282105,0.8277,0.8289,64.12191939353943
31,stage2,resnet34,adagrad,0.1,,0.0005,,0.1249047141289711,0.97822,0.4995399401664734,0.8375,0.8375,64.16312885284424
32,stage2,resnet34,adagrad,0.1,,0.0005,,0.12179599257946014,0.97866,0.5635702376365661,0.8115,0.8375,64.25186157226562
33,stage2,resnet34,adagrad,0.1,,0.0005,,0.11691306423425675,0.98026,0.47487913064956666,0.8418,0.8418,64.21176791191101
34,stage2,resnet34,adagrad,0.1,,0.0005,,0.1172118359375,0.97942,0.49474420337677,0.8369,0.8418,64.15761065483093
35,stage2,resnet34,adagrad,0.1,,0.0005,,0.1139535351216793,0.98036,0.4691993968009949,0.8441,0.8441,64.21239519119263
36,stage2,resnet34,adagrad,0.1,,0.0005,,0.11012415455818177,0.98076,0.479986768913269,0.842,0.8441,64.20166373252869
37,stage2,resnet34,adagrad,0.1,,0.0005,,0.1076652517580986,0.98178,0.5355065257072449,0.8242,0.8441,64.18131065368652
38,stage2,resnet34,adagrad,0.1,,0.0005,,0.10584306096076965,0.98152,0.4693115284919739,0.8421,0.8441,64.17945075035095
39,stage2,resnet34,adagrad,0.1,,0.0005,,0.10355005276203155,0.98248,0.43376225500106813,0.8539,0.8539,64.31462478637695
40,stage2,resnet34,adagrad,0.1,,0.0005,,0.0984640203332901,0.98408,0.5204165513992309,0.8353,0.8539,64.59197402000427
41,stage2,resnet34,adagrad,0.1,,0.0005,,0.1020186800980568,0.98226,0.7188595972061157,0.7761,0.8539,64.53490710258484
42,stage2,resnet34,adagrad,0.1,,0.0005,,0.09863085131406785,0.98358,0.4402354965209961,0.854,0.854,64.55746173858643
43,stage2,resnet34,adagrad,0.1,,0.0005,,0.09520172981500626,0.98476,0.43727460289001463,0.8512,0.854,64.67201066017151
44,stage2,resnet34,adagrad,0.1,,0.0005,,0.09355448068618774,0.98452,0.4481998333454132,0.8522,0.854,64.62969303131104
45,stage2,resnet34,adagrad,0.1,,0.0005,,0.09193664075016976,0.98482,0.43437555236816405,0.8536,0.854,64.57230377197266
46,stage2,resnet34,adagrad,0.1,,0.0005,,0.09077779687166214,0.98602,0.4227610198020935,0.8611,0.8611,64.61363816261292
47,stage2,resnet34,adagrad,0.1,,0.0005,,0.08850370245933532,0.98608,0.5239347046375274,0.8284,0.8611,64.64756321907043
48,stage2,resnet34,adagrad,0.1,,0.0005,,0.08794574165821076,0.98552,0.40356691961288454,0.8659,0.8659,64.57064700126648
49,stage2,resnet34,adagrad,0.1,,0.0005,,0.08681954803943634,0.98624,0.4735810353517532,0.8479,0.8659,64.16924691200256
50,stage2,resnet34,adagrad,0.1,,0.0005,,0.08376143464446067,0.98744,0.42973725199699403,0.8542,0.8659,64.256343126297
51,stage2,resnet34,adagrad,0.1,,0.0005,,0.08344509913682938,0.98678,0.42388620138168337,0.8602,0.8659,64.22312760353088
52,stage2,resnet34,adagrad,0.1,,0.0005,,0.08266642329096795,0.98706,0.47392874908447263,0.8467,0.8659,64.2006483078003
53,stage2,resnet34,adagrad,0.1,,0.0005,,0.08190559203147889,0.98774,0.4738563642978668,0.8458,0.8659,64.25056767463684
54,stage2,resnet34,adagrad,0.1,,0.0005,,0.07748929499149322,0.98814,0.44788355512619016,0.8547,0.8659,64.2252299785614
55,stage2,resnet34,adagrad,0.1,,0.0005,,0.07783488332748413,0.98784,0.4294896569252014,0.8602,0.8659,64.16887092590332
56,stage2,resnet34,adagrad,0.1,,0.0005,,0.07708034334897995,0.9878,0.44340746116638186,0.8561,0.8659,64.14427375793457
57,stage2,resnet34,adagrad,0.1,,0.0005,,0.07753979104876518,0.98864,0.45310630819797515,0.8537,0.8659,64.13210773468018
58,stage2,resnet34,adagrad,0.1,,0.0005,,0.07597593591690063,0.98864,0.3784914622783661,0.8731,0.8731,64.28258919715881
59,stage2,resnet34,adagrad,0.1,,0.0005,,0.07627170677185059,0.98756,0.4172492104530334,0.859,0.8731,64.20667314529419
