epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet34,adam,0.01,,0.0005,,1.856889197731018,0.3125,1.5588978733062744,0.4161,0.4161,65.31829500198364
2,stage2,resnet34,adam,0.01,,0.0005,,1.4367237325286866,0.4697,1.446624568939209,0.4689,0.4689,65.15856790542603
3,stage2,resnet34,adam,0.01,,0.0005,,1.1979083048629762,0.56662,1.3404757572174073,0.5106,0.5106,65.15806102752686
4,stage2,resnet34,adam,0.01,,0.0005,,1.0910774742126466,0.60756,1.2709217792510987,0.5515,0.5515,65.0785551071167
5,stage2,resnet34,adam,0.01,,0.0005,,1.0223941338729858,0.63274,1.2070070503234864,0.5757,0.5757,65.09604096412659
6,stage2,resnet34,adam,0.01,,0.0005,,0.985446848487854,0.64544,1.3210962217330933,0.5332,0.5757,65.19063258171082
7,stage2,resnet34,adam,0.01,,0.0005,,0.9522370234489441,0.66054,1.5044560264587403,0.5232,0.5757,65.10971260070801
8,stage2,resnet34,adam,0.01,,0.0005,,0.9254583771896362,0.67002,1.2498121992111206,0.5743,0.5757,65.06907153129578
9,stage2,resnet34,adam,0.01,,0.0005,,0.9011567933273316,0.68106,1.1251879543304444,0.6069,0.6069,65.11076140403748
10,stage2,resnet34,adam,0.01,,0.0005,,0.8723546212387085,0.69262,1.0206252290725708,0.6453,0.6453,65.18053150177002
11,stage2,resnet34,adam,0.01,,0.0005,,0.8498066148567199,0.70094,1.9365184524536132,0.4584,0.6453,65.08417892456055
12,stage2,resnet34,adam,0.01,,0.0005,,0.8307320030403137,0.71026,0.9999341239929199,0.6484,0.6484,65.07300138473511
13,stage2,resnet34,adam,0.01,,0.0005,,0.8083262969207764,0.71612,1.5192284223556518,0.5252,0.6484,65.15957069396973
14,stage2,resnet34,adam,0.01,,0.0005,,0.7946458673286438,0.72362,0.9345459571838379,0.6747,0.6747,65.12195205688477
15,stage2,resnet34,adam,0.01,,0.0005,,0.7816390000534058,0.73056,1.0069197410583497,0.6664,0.6747,65.06858658790588
16,stage2,resnet34,adam,0.01,,0.0005,,0.7733605002784729,0.73418,0.9499017379760742,0.6681,0.6747,65.0665488243103
17,stage2,resnet34,adam,0.01,,0.0005,,0.7675266818618774,0.7354,1.2885608512878417,0.5952,0.6747,65.19718885421753
18,stage2,resnet34,adam,0.01,,0.0005,,0.7568116602897644,0.73986,1.258891092300415,0.5832,0.6747,65.12827777862549
19,stage2,resnet34,adam,0.01,,0.0005,,0.7554383506393433,0.73812,1.7477321765899658,0.5002,0.6747,65.05805683135986
20,stage2,resnet34,adam,0.01,,0.0005,,0.7437833088493347,0.74262,1.3278073886871338,0.5865,0.6747,65.10471248626709
21,stage2,resnet34,adam,0.01,,0.0005,,0.7388060139656067,0.7453,1.0706330410003662,0.6342,0.6747,65.16399145126343
22,stage2,resnet34,adam,0.01,,0.0005,,0.728913902721405,0.74954,1.0600216394424438,0.661,0.6747,65.09717321395874
23,stage2,resnet34,adam,0.01,,0.0005,,0.7280976914024353,0.75016,1.2593260318756103,0.6156,0.6747,65.09420228004456
24,stage2,resnet34,adam,0.01,,0.0005,,0.7264203285598755,0.75098,1.3626097867965699,0.5619,0.6747,65.13726758956909
25,stage2,resnet34,adam,0.01,,0.0005,,0.7220408623313904,0.752,0.9960140197753906,0.6575,0.6747,65.14537024497986
26,stage2,resnet34,adam,0.01,,0.0005,,0.7221758507728576,0.75198,1.1428251098632813,0.611,0.6747,65.06595015525818
27,stage2,resnet34,adam,0.01,,0.0005,,0.723340677986145,0.75196,1.069206149673462,0.6377,0.6747,65.03717947006226
28,stage2,resnet34,adam,0.01,,0.0005,,0.7232995729446411,0.75238,0.9269817470550538,0.6813,0.6813,65.16747283935547
29,stage2,resnet34,adam,0.01,,0.0005,,0.7188084568786621,0.75338,1.0425906341552735,0.664,0.6813,65.1107668876648
30,stage2,resnet34,adam,0.01,,0.0005,,0.7161357126617431,0.75304,1.1071246831893922,0.6388,0.6813,65.06862592697144
31,stage2,resnet34,adam,0.01,,0.0005,,0.7179517950439454,0.75494,1.1666134290695191,0.6169,0.6813,65.0928122997284
32,stage2,resnet34,adam,0.01,,0.0005,,0.7113947431182861,0.7561,0.8945824363708496,0.6913,0.6913,65.17138028144836
33,stage2,resnet34,adam,0.01,,0.0005,,0.7171579742240906,0.75396,0.9851061689376831,0.6663,0.6913,65.11379528045654
34,stage2,resnet34,adam,0.01,,0.0005,,0.7138451249885559,0.75554,1.342523752975464,0.5868,0.6913,65.09200596809387
35,stage2,resnet34,adam,0.01,,0.0005,,0.7127239593315124,0.75662,1.1987834062576295,0.6328,0.6913,65.11886501312256
36,stage2,resnet34,adam,0.01,,0.0005,,0.706427762746811,0.7595,0.9127008991241455,0.6754,0.6913,65.15011143684387
37,stage2,resnet34,adam,0.01,,0.0005,,0.706941768283844,0.75648,1.2339502856254578,0.6165,0.6913,65.07098174095154
38,stage2,resnet34,adam,0.01,,0.0005,,0.7097018249130249,0.75712,1.074912921333313,0.6318,0.6913,65.0452721118927
39,stage2,resnet34,adam,0.01,,0.0005,,0.6997669964790344,0.7621,0.9704225353240967,0.6648,0.6913,65.16331338882446
40,stage2,resnet34,adam,0.01,,0.0005,,0.7078337653923035,0.7583,1.258284981918335,0.6084,0.6913,65.11723828315735
41,stage2,resnet34,adam,0.01,,0.0005,,0.7064149552536011,0.75734,1.0868684505462647,0.6438,0.6913,65.06802129745483
42,stage2,resnet34,adam,0.01,,0.0005,,0.708962695903778,0.75718,0.9066343313217163,0.6866,0.6913,65.06612467765808
43,stage2,resnet34,adam,0.01,,0.0005,,0.7070219076728821,0.75844,0.8846625652313233,0.6946,0.6946,65.15920639038086
44,stage2,resnet34,adam,0.01,,0.0005,,0.7016880194664001,0.76122,1.2260116989135743,0.6055,0.6946,65.13092184066772
45,stage2,resnet34,adam,0.01,,0.0005,,0.7072725625610351,0.75838,0.9301688539505005,0.6792,0.6946,65.05178594589233
46,stage2,resnet34,adam,0.01,,0.0005,,0.707133786277771,0.75916,0.904535286617279,0.686,0.6946,65.10472178459167
47,stage2,resnet34,adam,0.01,,0.0005,,0.6992047264099122,0.76146,0.8617383718490601,0.7033,0.7033,65.12703394889832
48,stage2,resnet34,adam,0.01,,0.0005,,0.7036492916870117,0.75984,0.888180216217041,0.6913,0.7033,65.04438877105713
49,stage2,resnet34,adam,0.01,,0.0005,,0.7063233510017395,0.7594,1.1957620742797852,0.5984,0.7033,65.03420352935791
50,stage2,resnet34,adam,0.01,,0.0005,,0.7075082987594604,0.7588,1.7237298847198486,0.5223,0.7033,65.23005032539368
51,stage2,resnet34,adam,0.01,,0.0005,,0.7032516224861145,0.75884,1.1879522480010987,0.6316,0.7033,65.15638375282288
52,stage2,resnet34,adam,0.01,,0.0005,,0.7023869865036011,0.75874,0.9695324939727783,0.6657,0.7033,65.12375736236572
53,stage2,resnet34,adam,0.01,,0.0005,,0.7028680119705201,0.75836,1.1374398096084595,0.6276,0.7033,65.13894438743591
54,stage2,resnet34,adam,0.01,,0.0005,,0.7055063209724426,0.75888,1.2677875423431397,0.6128,0.7033,65.21108412742615
55,stage2,resnet34,adam,0.01,,0.0005,,0.7104662325286866,0.75458,1.2134850215911865,0.6126,0.7033,65.12887835502625
56,stage2,resnet34,adam,0.01,,0.0005,,0.6980153184890747,0.76004,1.2656014795303345,0.6053,0.7033,65.09487128257751
57,stage2,resnet34,adam,0.01,,0.0005,,0.7013366645812988,0.7618,0.9949316186904907,0.6553,0.7033,65.19204711914062
58,stage2,resnet34,adam,0.01,,0.0005,,0.7005577439117432,0.76202,1.3272930992126464,0.5921,0.7033,65.2042555809021
59,stage2,resnet34,adam,0.01,,0.0005,,0.6997689581680298,0.7607,1.7019192897796631,0.514,0.7033,65.10633301734924
60,stage2,resnet34,adam,0.01,,0.0005,,0.7001770736885071,0.76124,0.8981843383789062,0.686,0.7033,65.0981297492981
61,stage2,resnet34,adam,0.01,,0.0005,,0.702973458442688,0.75968,0.9905180251121521,0.6706,0.7033,65.21455931663513
62,stage2,resnet34,adam,0.01,,0.0005,,0.7003535512924194,0.76068,1.3377651168823241,0.594,0.7033,65.16355299949646
63,stage2,resnet34,adam,0.01,,0.0005,,0.7030058260726929,0.76104,0.8478819557189942,0.709,0.709,65.13475227355957
64,stage2,resnet34,adam,0.01,,0.0005,,0.6964392001342773,0.76082,0.9268787989616394,0.6856,0.709,65.1237952709198
65,stage2,resnet34,adam,0.01,,0.0005,,0.6995396313285828,0.75938,1.0856351440429688,0.6164,0.709,65.2038459777832
66,stage2,resnet34,adam,0.01,,0.0005,,0.6994342384719848,0.76352,0.9143064446449279,0.686,0.709,65.1339602470398
67,stage2,resnet34,adam,0.01,,0.0005,,0.6965675093841552,0.76166,1.2629009954452515,0.5986,0.709,65.1004319190979
68,stage2,resnet34,adam,0.01,,0.0005,,0.7010133961296081,0.76158,0.8200737073898315,0.7064,0.709,65.16803503036499
69,stage2,resnet34,adam,0.01,,0.0005,,0.6930543690681458,0.76358,1.0489271202087402,0.6483,0.709,65.21261429786682
70,stage2,resnet34,adam,0.01,,0.0005,,0.6930140074539185,0.76206,1.0880824333190917,0.6264,0.709,65.12532925605774
71,stage2,resnet34,adam,0.01,,0.0005,,0.6933480367279052,0.76408,1.11596119556427,0.6256,0.709,65.11382007598877
72,stage2,resnet34,adam,0.01,,0.0005,,0.6993322830009461,0.75976,0.8578592706680298,0.6988,0.709,65.19019174575806
73,stage2,resnet34,adam,0.01,,0.0005,,0.6945064316177368,0.76364,0.9061914684295654,0.6884,0.709,65.1799464225769
74,stage2,resnet34,adam,0.01,,0.0005,,0.7004641827583313,0.761,1.0595701148986816,0.656,0.709,65.13148069381714
75,stage2,resnet34,adam,0.01,,0.0005,,0.6948605136680603,0.7628,0.9571908493995667,0.6815,0.709,65.14126873016357
76,stage2,resnet34,adam,0.01,,0.0005,,0.6972399788093567,0.76148,1.0338344850540162,0.6561,0.709,65.16312861442566
77,stage2,resnet34,adam,0.01,,0.0005,,0.6938470623397827,0.76056,0.8585769174575806,0.7019,0.709,65.13832998275757
78,stage2,resnet34,adam,0.01,,0.0005,,0.695918781414032,0.7639,0.9446121541023255,0.6881,0.709,65.80153226852417
79,stage2,resnet34,adam,0.01,,0.0005,,0.6969378321647645,0.76268,0.8446904956817627,0.702,0.709,65.98836135864258
80,stage2,resnet34,adam,0.01,,0.0005,,0.6925946885490417,0.7641,1.4101753311157226,0.5721,0.709,66.01352405548096
81,stage2,resnet34,adam,0.01,,0.0005,,0.6937486025810242,0.7621,1.205219920730591,0.627,0.709,65.91742444038391
82,stage2,resnet34,adam,0.01,,0.0005,,0.6936319749832154,0.76506,0.9707187973022461,0.6785,0.709,65.92656373977661
83,stage2,resnet34,adam,0.01,,0.0005,,0.6968671216773987,0.76228,0.8284392464637756,0.7144,0.7144,66.01655554771423
84,stage2,resnet34,adam,0.01,,0.0005,,0.6926452704048157,0.76304,1.9978993537902832,0.4856,0.7144,65.9614667892456
85,stage2,resnet34,adam,0.01,,0.0005,,0.6915062672424317,0.76352,0.8960288234710694,0.6825,0.7144,65.91392064094543
86,stage2,resnet34,adam,0.01,,0.0005,,0.6885423839378357,0.76546,1.617971182823181,0.518,0.7144,65.9337911605835
87,stage2,resnet34,adam,0.01,,0.0005,,0.6973635506057739,0.76244,1.1205736883163453,0.6191,0.7144,66.01200151443481
88,stage2,resnet34,adam,0.01,,0.0005,,0.691260614490509,0.7634,0.9414679788589477,0.677,0.7144,65.93123173713684
89,stage2,resnet34,adam,0.01,,0.0005,,0.6867701468276978,0.7662,1.1827494289398193,0.6157,0.7144,65.91940569877625
90,stage2,resnet34,adam,0.01,,0.0005,,0.6890615160560608,0.7667,1.3638870845794677,0.5825,0.7144,66.00324177742004
91,stage2,resnet34,adam,0.01,,0.0005,,0.6906034818840027,0.76622,0.8635562376976014,0.6989,0.7144,65.98827910423279
92,stage2,resnet34,adam,0.01,,0.0005,,0.6900044743347168,0.7636,0.9534245313644409,0.6749,0.7144,66.26124358177185
93,stage2,resnet34,adam,0.01,,0.0005,,0.6907627245903015,0.76388,1.1164631364822388,0.635,0.7144,67.30366063117981
94,stage2,resnet34,adam,0.01,,0.0005,,0.6913865410995483,0.763,0.9758526374816895,0.6742,0.7144,67.45885705947876
95,stage2,resnet34,adam,0.01,,0.0005,,0.6896167456054687,0.76374,0.9689709951400757,0.6767,0.7144,67.79804468154907
96,stage2,resnet34,adam,0.01,,0.0005,,0.688569128704071,0.76566,0.7877708199501038,0.7207,0.7207,67.84492254257202
97,stage2,resnet34,adam,0.01,,0.0005,,0.6909198090553283,0.76516,1.0725874752044677,0.6509,0.7207,68.02418756484985
98,stage2,resnet34,adam,0.01,,0.0005,,0.689323986568451,0.76484,0.9926295429229737,0.673,0.7207,68.1208643913269
99,stage2,resnet34,adam,0.01,,0.0005,,0.6854655736160278,0.7672,1.3297048267364502,0.5667,0.7207,67.94301009178162
100,stage2,resnet34,adam,0.01,,0.0005,,0.6904981924819946,0.7636,1.4013254878997803,0.5897,0.7207,68.19982576370239
