epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,2.0489741306304934,0.2664,1.6613449035644532,0.3959,0.3959,68.45802545547485
2,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,1.5152324759292604,0.43936,1.4566977251052857,0.4716,0.4716,67.9467043876648
3,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,1.2225420589447022,0.55562,1.1679755718231202,0.588,0.588,68.08675384521484
4,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.9342886870002747,0.67074,0.9296475955963135,0.6704,0.6704,68.01751255989075
5,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.7282962636184692,0.7485,0.7867829993247986,0.7224,0.7224,67.64304399490356
6,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.5859840276527405,0.80174,0.6348512117385864,0.7794,0.7794,67.47358536720276
7,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.5042224276447296,0.83086,0.6135906087875366,0.7881,0.7881,67.4874370098114
8,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.4468676705265045,0.8545,0.5812978332519532,0.803,0.803,67.67250537872314
9,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.4053837228012085,0.86946,0.5272518585205078,0.821,0.821,67.60040044784546
10,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.38407169785499573,0.87672,0.515804413318634,0.8267,0.8267,67.29631304740906
11,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.35364091077804566,0.88958,0.5076953929901123,0.8284,0.8284,67.9975700378418
12,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.3342303837585449,0.89674,0.5131427906990051,0.8302,0.8302,68.0168731212616
13,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.3195901296043396,0.90254,0.5153072541713715,0.8247,0.8302,68.01298379898071
14,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.30977318595886233,0.90542,0.4854031138420105,0.8364,0.8364,68.0280454158783
15,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.2935189347934723,0.91196,0.45387350401878357,0.8461,0.8461,68.00209379196167
16,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.2808331561946869,0.91838,0.4648586352348328,0.8408,0.8461,67.9622483253479
17,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.2722433496189117,0.92036,0.5296227810621261,0.8271,0.8461,67.92299365997314
18,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.2640171696805954,0.92268,0.4666317705154419,0.8468,0.8468,68.0056734085083
19,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.25575570101737977,0.9267,0.44050149335861205,0.8505,0.8505,68.07999968528748
20,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.25332112200737,0.92672,0.43615204634666443,0.8525,0.8525,68.02632975578308
21,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.24617159237861633,0.92856,0.4824399683952332,0.8384,0.8525,68.05709409713745
22,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.23676398131370543,0.93294,0.4031556665420532,0.8658,0.8658,67.84265112876892
23,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.23181881343841554,0.93492,0.43152863779067996,0.8566,0.8658,68.04389500617981
24,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.22969006579875947,0.93554,0.40840733098983767,0.8629,0.8658,67.94619083404541
25,stage2,resnet18,sam,0.1,0.9,0.0005,0.01,0.2301526679420471,0.936,0.3951827381134033,0.8666,0.8666,67.98375606536865
