epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,2.3621953356552123,0.13808,1.940774169921875,0.2324,0.2324,110.83121061325073
2,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,1.8180736979675294,0.30252,1.6530065328598023,0.3851,0.3851,110.44999313354492
3,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,1.4709132205963136,0.45448,1.3584094242095948,0.492,0.492,109.89384722709656
4,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,1.14962917263031,0.58448,1.0329454360961914,0.6256,0.6256,109.95048952102661
5,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.8998495144462585,0.68122,1.020241038608551,0.6499,0.6499,110.57620024681091
6,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.716109698638916,0.75668,0.7483711505889893,0.7382,0.7382,110.59275412559509
7,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.5913454712295533,0.80218,0.7296792909622193,0.7484,0.7484,110.49491715431213
8,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.510631473016739,0.83196,0.633851592540741,0.7794,0.7794,110.54738235473633
9,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.460899537525177,0.85062,0.5604412047863007,0.8044,0.8044,110.5167179107666
10,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.4281251287460327,0.86204,0.6090430652141571,0.7927,0.8044,110.54933142662048
11,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.39474772430419924,0.87468,0.5149418939590454,0.824,0.824,110.54587411880493
12,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.3686585880088806,0.88534,0.44965011301040647,0.846,0.846,109.98375678062439
13,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.3440142446899414,0.89306,0.4590114155769348,0.8391,0.846,110.5354254245758
14,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.33088093609333036,0.8996,0.5375667402267456,0.8185,0.846,110.52725124359131
15,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.3125622408246994,0.90402,0.42809521532058714,0.852,0.852,110.54806613922119
16,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.3001068344211578,0.91092,0.45138876905441283,0.844,0.852,110.60873031616211
17,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.2855366000318527,0.91528,0.43730324029922485,0.8526,0.8526,110.52963995933533
18,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.28008946310043337,0.9173,0.45680293064117433,0.8434,0.8526,110.6313545703888
19,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.26846168277263643,0.92252,0.3949659394264221,0.8648,0.8648,110.64066219329834
20,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.2546111812114716,0.92724,0.3764778368473053,0.8736,0.8736,110.53372716903687
21,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.2457745510864258,0.92952,0.48997455377578736,0.8353,0.8736,110.6703233718872
22,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.24090505987405778,0.9324,0.45937886991500854,0.8435,0.8736,110.7698724269867
23,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.23694852499961852,0.9335,0.44554549045562747,0.8531,0.8736,110.74177598953247
24,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.23228037483215333,0.93432,0.41101440968513486,0.856,0.8736,110.70754098892212
25,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.22571031744003295,0.93644,0.5052295650482178,0.8355,0.8736,110.78813362121582
26,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.22443541528224945,0.93716,0.393913818025589,0.8685,0.8736,110.72197771072388
27,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.2174968991947174,0.93944,0.37939572727680204,0.8731,0.8736,110.69318962097168
28,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.20991621801376342,0.9417,0.3843612319946289,0.8707,0.8736,110.80309772491455
29,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.20732788588523865,0.94422,0.37440412979125975,0.872,0.8736,110.80851173400879
30,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.20771518349170684,0.9424,0.37247255659103395,0.8728,0.8736,110.79068660736084
31,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.20507106800556182,0.9444,0.36529363641738893,0.8747,0.8747,110.7886130809784
32,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.19920521514892578,0.947,0.3675164797306061,0.874,0.8747,115.89755153656006
33,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.1950431500840187,0.9482,0.38128580718040467,0.8708,0.8747,117.55537605285645
34,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.18956640609264375,0.94994,0.4250856168746948,0.8597,0.8747,117.42544150352478
35,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.19519570137262343,0.94754,0.38681324434280395,0.8671,0.8747,117.76567959785461
36,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.18704902856349945,0.95104,0.4133471375465393,0.864,0.8747,117.81283807754517
37,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.19169149724960327,0.9495,0.3561479215621948,0.8797,0.8797,118.18053078651428
38,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.18526767028808594,0.95028,0.3473765251159668,0.8818,0.8818,118.31743788719177
39,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.18281112290859222,0.95284,0.38809200224876406,0.8639,0.8818,118.43710851669312
40,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.18433379946708678,0.95108,0.3456321828365326,0.884,0.884,118.03603172302246
41,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.1852776477098465,0.95108,0.37116710233688355,0.8727,0.884,118.25518226623535
42,stage2,resnet34,sam,0.1,0.9,0.0005,0.05,0.1829150062394142,0.95198,0.4123349593639374,0.8623,0.884,118.0255663394928
