epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,2.1657656121063233,0.21758,1.709724898147583,0.3547,0.3547,68.71177554130554
2,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,1.549309287223816,0.42254,1.4277988861083983,0.462,0.462,68.21615600585938
3,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,1.267884274635315,0.53662,1.2137978172302246,0.5533,0.5533,68.25157690048218
4,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,1.00915853351593,0.64112,0.995051155090332,0.6437,0.6437,68.64123296737671
5,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.8127436988449097,0.71656,0.9549434925079345,0.6597,0.6597,68.61963725090027
6,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.6685864318656921,0.77058,0.7014153084754944,0.7562,0.7562,68.5166323184967
7,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.5663922608280182,0.81178,0.6505426783561706,0.7723,0.7723,68.42921805381775
8,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.49322145233154296,0.83778,0.6285088043212891,0.782,0.782,68.24057745933533
9,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.43691791425704957,0.85952,0.5371105690956116,0.8174,0.8174,68.28403759002686
10,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.40753373927116393,0.8705,0.4789712507724762,0.8337,0.8337,68.19115233421326
11,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.37926114391326904,0.88108,0.5109637134552002,0.8266,0.8337,68.25976657867432
12,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.35626564010620115,0.89158,0.5015108719348907,0.8253,0.8337,68.32766222953796
13,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.3384060456466675,0.89638,0.4442638140678406,0.8462,0.8462,68.16003704071045
14,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.3205202517032623,0.9038,0.4736865032196045,0.8393,0.8462,68.16864347457886
15,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.3024704185152054,0.91044,0.4469080273628235,0.846,0.8462,68.44195699691772
16,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.2916928251457214,0.91326,0.4801390221118927,0.8403,0.8462,68.06026697158813
17,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.28756311591148376,0.91612,0.5565393176078797,0.8165,0.8462,68.15821266174316
18,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.2747234985637665,0.91944,0.46029606409072876,0.8445,0.8462,68.16762614250183
19,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.2675860416507721,0.92306,0.38130980682373045,0.8721,0.8721,68.09435486793518
20,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.2580820114183426,0.92662,0.45074543356895447,0.8441,0.8721,68.26492190361023
21,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.24878842829704284,0.92886,0.4028570375442505,0.8643,0.8721,68.03214931488037
22,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.2440697950744629,0.93152,0.4115044592857361,0.8616,0.8721,68.23969173431396
23,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.23665267399787904,0.93376,0.429246833896637,0.8559,0.8721,68.0800621509552
24,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.2333541622877121,0.93468,0.42501906280517576,0.8515,0.8721,68.22461438179016
25,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.23335948075294494,0.9355,0.37722535820007325,0.8696,0.8721,68.26882791519165
26,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.22944719396591187,0.9368,0.40326503672599795,0.8627,0.8721,68.12209057807922
27,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.22070522017002106,0.94046,0.41665481958389283,0.8571,0.8721,68.18599843978882
28,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.21766090947151184,0.94034,0.4123085478067398,0.8551,0.8721,67.88538312911987
29,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.21757545553207397,0.94074,0.46780787098407745,0.8449,0.8721,68.03461146354675
30,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.21455246387481688,0.94158,0.40210527215003966,0.8672,0.8721,68.0896692276001
31,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.2092906483745575,0.94342,0.41427382831573484,0.8635,0.8721,67.91406917572021
32,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.2064283738899231,0.9439,0.3921886117219925,0.8695,0.8721,68.03276991844177
33,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.20749710193634033,0.94402,0.40642112398147584,0.862,0.8721,67.99249768257141
34,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.20045592034816742,0.9457,0.37769877166748045,0.876,0.876,67.98790860176086
35,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.20188836094856263,0.94636,0.37815013394355773,0.8736,0.876,68.4356689453125
36,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.19791267078876495,0.9471,0.3923778752326965,0.8654,0.876,68.28179121017456
37,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.19527224277496338,0.94702,0.39379548950195314,0.867,0.876,68.13395714759827
38,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.1908210676574707,0.94984,0.422190510559082,0.8573,0.876,68.48821687698364
39,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.1935597526216507,0.95002,0.3530776031970978,0.879,0.879,68.24741888046265
40,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.18926885617256164,0.95176,0.347588960313797,0.8804,0.8804,68.2819230556488
41,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.18664382491111756,0.95172,0.38420933122634887,0.8673,0.8804,68.26826667785645
42,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.18803447217464447,0.9505,0.36838524146080015,0.8745,0.8804,68.25801610946655
43,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.18856508955478668,0.9511,0.3711231495857239,0.8757,0.8804,68.23220014572144
44,stage2,resnet18,sam,0.1,0.9,0.0005,0.05,0.18411138926506043,0.95258,0.3828442835330963,0.872,0.8804,68.33592772483826
