epoch,optimizer,lr,rho,lr_center,lr_min,lr_max,rho_center,rho_min,rho_max,adaptive,adaptive_power,eta,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
27,stage4_dynamic_rho_lr_improved_sam,0.008792651095080912,0.09435880868474411,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.1781255184984207,0.94532,0.2820050467967987,0.9069,0.9069,61.727516889572144
28,stage4_dynamic_rho_lr_improved_sam,0.008655713869765984,0.09340776671052861,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.16968456535816193,0.94834,0.3138088411808014,0.8899,0.9069,61.664127826690674
29,stage4_dynamic_rho_lr_improved_sam,0.008514509408285357,0.09243172949886029,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.16344760456562044,0.95112,0.2845227505683899,0.9019,0.9069,61.830721378326416
30,stage4_dynamic_rho_lr_improved_sam,0.008369624861491273,0.09143825551980132,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.15337210827112197,0.95418,0.27792569971084596,0.9035,0.9069,61.793763637542725
31,stage4_dynamic_rho_lr_improved_sam,0.008221649512067742,0.09043489392595082,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.1465551838350296,0.95662,0.27096094598770143,0.9078,0.9078,61.71198844909668
32,stage4_dynamic_rho_lr_improved_sam,0.008071166602344951,0.08942906338035256,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.1383479270505905,0.95972,0.2762683476448059,0.9059,0.9078,61.69551181793213
33,stage4_dynamic_rho_lr_improved_sam,0.007918745333305374,0.08842793349589165,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.13132622364521027,0.96286,0.2711173797130585,0.9069,0.9078,61.8945095539093
34,stage4_dynamic_rho_lr_improved_sam,0.007764933172179907,0.08743831094556365,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.12480342791080475,0.96496,0.26646624727249146,0.9051,0.9078,61.87147068977356
35,stage4_dynamic_rho_lr_improved_sam,0.007610248600571389,0.08646653222104128,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.1199226233625412,0.96626,0.26656965713500974,0.9078,0.9078,61.84177827835083
36,stage4_dynamic_rho_lr_improved_sam,0.007455174427279677,0.08551836490047031,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.11268034628868102,0.96906,0.263357884311676,0.9089,0.9089,61.64926767349243
37,stage4_dynamic_rho_lr_improved_sam,0.007300151780072294,0.08459891913743188,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.10680456766605377,0.97096,0.2567775118350983,0.9093,0.9093,61.70390963554382
38,stage4_dynamic_rho_lr_improved_sam,0.007145574878721274,0.08371257090411872,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.100981530148983,0.97284,0.24599001865386963,0.9183,0.9183,61.72189259529114
39,stage4_dynamic_rho_lr_improved_sam,0.006991786677918821,0.08286289831611153,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.09587453742504119,0.97568,0.24979485619068145,0.9163,0.9183,61.66387605667114
40,stage4_dynamic_rho_lr_improved_sam,0.006839075453430867,0.08205263213730422,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.0901952614569664,0.97682,0.24663024995326996,0.9165,0.9183,61.58727979660034
41,stage4_dynamic_rho_lr_improved_sam,0.006687672388315532,0.0812836213155106,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.08834017776966095,0.9773,0.2329220734357834,0.9216,0.9216,61.71868968009949
42,stage4_dynamic_rho_lr_improved_sam,0.006537750198511658,0.08055681413642393,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.08419933815956115,0.9794,0.2385479683637619,0.9181,0.9216,61.82783079147339
43,stage4_dynamic_rho_lr_improved_sam,0.00638942281889696,0.07987225531048822,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.07999332731723785,0.98012,0.2537299781322479,0.9165,0.9216,61.80953121185303
44,stage4_dynamic_rho_lr_improved_sam,0.00624274615234454,0.07922909902864725,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.07272331568956375,0.9835,0.23322582030296327,0.9187,0.9216,62.06550741195679
45,stage4_dynamic_rho_lr_improved_sam,0.006097719865694451,0.07862563774373241,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.06853611635684967,0.98512,0.2231147524356842,0.9226,0.9226,61.99774789810181
46,stage4_dynamic_rho_lr_improved_sam,0.0059542901982294815,0.07805934615931268,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.06621040349960328,0.9856,0.23147265586853027,0.9211,0.9226,61.70266056060791
47,stage4_dynamic_rho_lr_improved_sam,0.005812353730521176,0.07752693964196121,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.06178721966981888,0.98636,0.23547597856521607,0.9204,0.9226,61.792938470840454
48,stage4_dynamic_rho_lr_improved_sam,0.005671762044703284,0.07702444602074103,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.05990115445375443,0.988,0.22389767475128175,0.9241,0.9241,61.89254450798035
49,stage4_dynamic_rho_lr_improved_sam,0.005532327191628892,0.07654728950368124,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.05554135924220085,0.98918,0.2240149296283722,0.9247,0.9247,61.90440797805786
50,stage4_dynamic_rho_lr_improved_sam,0.005393827866247109,0.07609038522919427,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.052186371582746506,0.99024,0.2275025336265564,0.923,0.9247,61.678433895111084
51,stage4_dynamic_rho_lr_improved_sam,0.005256016180142155,0.07564824278447611,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.04950196722865104,0.99094,0.21276300501823425,0.9268,0.9268,61.72302484512329
52,stage4_dynamic_rho_lr_improved_sam,0.0051186249097283365,0.07521507686618187,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.046870034897327426,0.99184,0.22248848571777344,0.9266,0.9268,61.88949227333069
53,stage4_dynamic_rho_lr_improved_sam,0.004981375090271666,0.07478492313381814,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.045041137405633924,0.9926,0.22117435069084168,0.9271,0.9271,61.848917722702026
54,stage4_dynamic_rho_lr_improved_sam,0.004843983819857846,0.0743517572155239,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.042285478756129743,0.9931,0.21978415536880494,0.9249,0.9271,61.76161217689514
55,stage4_dynamic_rho_lr_improved_sam,0.004706172133752893,0.07390961477080575,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.040261988229751584,0.99364,0.21617315611839294,0.9271,0.9271,61.691585302352905
56,stage4_dynamic_rho_lr_improved_sam,0.0045676728083711106,0.07345271049631878,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.03801095330119133,0.99464,0.21586417441368103,0.9273,0.9273,61.88466191291809
57,stage4_dynamic_rho_lr_improved_sam,0.0044282379552967165,0.07297555397925896,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.0365396384191513,0.99488,0.21066574654579162,0.929,0.929,61.72559428215027
58,stage4_dynamic_rho_lr_improved_sam,0.004287646269478827,0.07247306035803881,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.03404702641367912,0.99548,0.2147318139076233,0.9269,0.929,61.669880628585815
59,stage4_dynamic_rho_lr_improved_sam,0.004145709801770521,0.07194065384068735,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.03156078639805317,0.9963,0.21276167330741882,0.928,0.929,61.540244340896606
60,stage4_dynamic_rho_lr_improved_sam,0.00400228013430555,0.0713743622562676,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.031039075616002082,0.99612,0.21074522309303284,0.9315,0.9315,61.89457082748413
61,stage4_dynamic_rho_lr_improved_sam,0.0038572538476554625,0.07077090097135277,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.02809436433672905,0.99706,0.21241464052200318,0.929,0.9315,61.80876970291138
62,stage4_dynamic_rho_lr_improved_sam,0.0037105771811030415,0.07012774468951177,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.027695128486156465,0.997,0.21523362441062927,0.9283,0.9315,61.72224187850952
63,stage4_dynamic_rho_lr_improved_sam,0.0035622498014883435,0.06944318586357608,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.026146259763240816,0.99756,0.2135569118976593,0.9285,0.9315,61.79033827781677
64,stage4_dynamic_rho_lr_improved_sam,0.0034123276116844676,0.06871637868448939,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.024459443393945693,0.9977,0.21028606791496277,0.9314,0.9315,61.80512499809265
65,stage4_dynamic_rho_lr_improved_sam,0.0032609245465691364,0.06794736786269578,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.02338263657331467,0.99784,0.21000253162384033,0.9322,0.9322,61.6091742515564
66,stage4_dynamic_rho_lr_improved_sam,0.0031082133220811806,0.06713710168388848,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.021646317675709726,0.99804,0.20311035780906678,0.9329,0.9329,61.751028299331665
67,stage4_dynamic_rho_lr_improved_sam,0.0029544251212787285,0.0662874290958813,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.020272102096676826,0.9985,0.2074232000350952,0.9335,0.9335,61.790311336517334
68,stage4_dynamic_rho_lr_improved_sam,0.0027998482199277086,0.06540108086256814,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.01918924271583557,0.9987,0.20338378052711487,0.932,0.9335,62.01487588882446
69,stage4_dynamic_rho_lr_improved_sam,0.0026448255727203247,0.06448163509952971,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.018121004453003405,0.99882,0.20516267552375794,0.9338,0.9338,61.75346398353577
70,stage4_dynamic_rho_lr_improved_sam,0.002489751399428614,0.06353346777895873,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.01699894994854927,0.99896,0.20264405908584596,0.9322,0.9338,61.83250451087952
71,stage4_dynamic_rho_lr_improved_sam,0.0023350668278200926,0.06256168905443636,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.01570102112531662,0.9991,0.20322888374328613,0.9326,0.9338,62.01862192153931
72,stage4_dynamic_rho_lr_improved_sam,0.0021812546666946245,0.061572066504108354,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.014692027708292008,0.99906,0.2051910424232483,0.9312,0.9338,61.94347381591797
73,stage4_dynamic_rho_lr_improved_sam,0.00202883339765505,0.06057093661964745,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.013960987427830696,0.99914,0.1993238332271576,0.9336,0.9338,61.79626750946045
74,stage4_dynamic_rho_lr_improved_sam,0.001878350487932258,0.059565106074049176,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.013409827211499215,0.99946,0.20261787052154542,0.9347,0.9347,61.83803844451904
75,stage4_dynamic_rho_lr_improved_sam,0.0017303751385087298,0.058561744480198685,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.012372416249513626,0.99954,0.1985910036087036,0.9359,0.9359,61.960267782211304
76,stage4_dynamic_rho_lr_improved_sam,0.0015854905917146434,0.05756827050113971,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.012053208289444447,0.9995,0.2005200494289398,0.9364,0.9364,61.80101680755615
77,stage4_dynamic_rho_lr_improved_sam,0.0014442861302340173,0.05659223328947139,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.011315838086605072,0.99968,0.20280020303726196,0.936,0.9364,61.808247089385986
78,stage4_dynamic_rho_lr_improved_sam,0.00130734890491909,0.05564119131525591,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.01048435867190361,0.99964,0.19956464161872864,0.9354,0.9364,61.74400806427002
79,stage4_dynamic_rho_lr_improved_sam,0.001175255731874046,0.05472259068781098,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.010038329217433929,0.99974,0.20263755936622618,0.9345,0.9364,62.03488039970398
80,stage4_dynamic_rho_lr_improved_sam,0.0010485649998804379,0.05384364508597895,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.009433321967422963,0.99968,0.2021017158508301,0.9349,0.9364,61.96153783798218
81,stage4_dynamic_rho_lr_improved_sam,0.0009278088273855161,0.053011219383748906,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.009037681570649147,0.9998,0.20221148509979248,0.9355,0.9364,61.876221656799316
82,stage4_dynamic_rho_lr_improved_sam,0.0008134856039935878,0.0522317189939438,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.008690367953181267,0.99986,0.20271119441986085,0.9343,0.9364,61.7393000125885
83,stage4_dynamic_rho_lr_improved_sam,0.0007060530447639468,0.05151098685319028,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.008338159537762404,0.9999,0.20003896775245666,0.9363,0.9364,61.80767035484314
84,stage4_dynamic_rho_lr_improved_sam,0.0006059218767429014,0.050854209838304035,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.00791053068548441,0.9998,0.20219953079223632,0.9358,0.9364,61.77756643295288
85,stage4_dynamic_rho_lr_improved_sam,0.0005134502661968683,0.05026583623987261,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.00771553491204977,0.99984,0.20185486540794373,0.9366,0.9366,62.02411651611328
86,stage4_dynamic_rho_lr_improved_sam,0.0004289390821598512,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.007646434636712074,0.9999,0.1993941333293915,0.9368,0.9368,61.84597897529602
87,stage4_dynamic_rho_lr_improved_sam,0.0003526280773863519,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.007288367952108383,0.99992,0.19898150997161865,0.9363,0.9368,61.87975883483887
88,stage4_dynamic_rho_lr_improved_sam,0.0002846930518634517,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.00718114619910717,0.99992,0.2008596219062805,0.936,0.9368,61.88028693199158
89,stage4_dynamic_rho_lr_improved_sam,0.0002252440469619417,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.0069156509383022785,0.99996,0.19895124135017395,0.9363,0.9368,61.88452911376953
90,stage4_dynamic_rho_lr_improved_sam,0.00017432460039399245,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.006917624041736126,0.9999,0.19897522091865538,0.9365,0.9368,61.91104865074158
91,stage4_dynamic_rho_lr_improved_sam,0.00013191207370698827,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.006795024986565113,0.99996,0.1998614902973175,0.9372,0.9372,61.65255117416382
92,stage4_dynamic_rho_lr_improved_sam,0.0001,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.006855118897408247,0.9999,0.19999340109825134,0.9365,0.9372,61.778443574905396
93,stage4_dynamic_rho_lr_improved_sam,0.0001,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.006733600629866123,0.99998,0.19970860953330993,0.9368,0.9372,61.75284290313721
94,stage4_dynamic_rho_lr_improved_sam,0.0001,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.00687905043259263,0.99994,0.19964237275123597,0.9368,0.9372,61.69251322746277
95,stage4_dynamic_rho_lr_improved_sam,0.0001,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.006717291508615017,0.99996,0.19920924158096315,0.9372,0.9372,61.933624267578125
96,stage4_dynamic_rho_lr_improved_sam,0.0001,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.006803984023332596,0.99992,0.20002258677482604,0.9377,0.9377,61.64020276069641
97,stage4_dynamic_rho_lr_improved_sam,0.0001,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.006903598425388336,0.99988,0.1987743664264679,0.9366,0.9377,61.613476276397705
98,stage4_dynamic_rho_lr_improved_sam,0.0001,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.0067644682675600054,0.99992,0.19947291378974916,0.9369,0.9377,61.56390857696533
99,stage4_dynamic_rho_lr_improved_sam,0.0001,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.006741830052137375,0.99984,0.1994303903579712,0.937,0.9377,61.930538177490234
100,stage4_dynamic_rho_lr_improved_sam,0.0001,0.05,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.006668761151134968,0.99986,0.20049289121627809,0.9365,0.9377,61.53220582008362
