epoch,stage,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage1,adamw,0.01,,0.0005,,1.7327408108901978,0.35996,1.5022910804748535,0.434,0.434,35.874204874038696
2,stage1,adamw,0.01,,0.0005,,1.2026209370422363,0.55934,1.2080671955108642,0.565,0.565,35.56304311752319
3,stage1,adamw,0.01,,0.0005,,0.8731347413825988,0.6913,0.9897958263397216,0.6475,0.6475,35.475441217422485
4,stage1,adamw,0.01,,0.0005,,0.6855197945976257,0.7603,0.6983931928634644,0.7562,0.7562,35.53335475921631
5,stage1,adamw,0.01,,0.0005,,0.5405491718482971,0.81326,0.6078043921470642,0.7931,0.7931,35.59561777114868
6,stage1,adamw,0.01,,0.0005,,0.4487031345939636,0.84808,0.581464246082306,0.8075,0.8075,35.526780128479004
7,stage1,adamw,0.01,,0.0005,,0.38127179317474363,0.87302,0.5068445977210998,0.828,0.828,35.62139940261841
8,stage1,adamw,0.01,,0.0005,,0.3307883227348328,0.88988,0.42897056431770325,0.8543,0.8543,35.681442737579346
9,stage1,adamw,0.01,,0.0005,,0.28839445683956144,0.90512,0.4284394134521484,0.8541,0.8543,35.66264247894287
10,stage1,adamw,0.01,,0.0005,,0.26077400253295896,0.91568,0.4264062421798706,0.8562,0.8562,35.558356046676636
11,stage1,adamw,0.01,,0.0005,,0.23291748265743256,0.92548,0.4043506954193115,0.8639,0.8639,35.608291149139404
12,stage1,adamw,0.01,,0.0005,,0.20940111011981963,0.93372,0.37841324458122255,0.8722,0.8722,35.56891107559204
13,stage1,adamw,0.01,,0.0005,,0.18739011076927184,0.94052,0.3679248948574066,0.8799,0.8799,35.53455829620361
14,stage1,adamw,0.01,,0.0005,,0.16745988272428514,0.94912,0.35055444304943084,0.8842,0.8842,35.719423055648804
15,stage1,adamw,0.01,,0.0005,,0.148648314409256,0.95456,0.36872182421684263,0.8855,0.8855,35.65642523765564
16,stage1,adamw,0.01,,0.0005,,0.13816485333442688,0.95844,0.36656861588954925,0.8847,0.8855,35.63258194923401
17,stage1,adamw,0.01,,0.0005,,0.11928287492513656,0.9656,0.36998279671669004,0.8847,0.8855,35.57721257209778
18,stage1,adamw,0.01,,0.0005,,0.11447626782417297,0.96652,0.35068533239364624,0.892,0.892,35.61515140533447
19,stage1,adamw,0.01,,0.0005,,0.0982331555700302,0.97244,0.37579089550971984,0.8866,0.892,35.538376331329346
20,stage1,adamw,0.01,,0.0005,,0.08783432453393936,0.97538,0.3876604855775833,0.8904,0.892,35.553253412246704
21,stage1,adamw,0.01,,0.0005,,0.08527662773013114,0.97672,0.31988450450897216,0.9038,0.9038,35.69285726547241
22,stage1,adamw,0.01,,0.0005,,0.07723447547912597,0.97962,0.3633548965930939,0.8945,0.9038,35.671910524368286
23,stage1,adamw,0.01,,0.0005,,0.0667465046429634,0.98276,0.3951376160621643,0.8929,0.9038,35.619404315948486
24,stage1,adamw,0.01,,0.0005,,0.06006163068532944,0.985,0.36965769205093385,0.9005,0.9038,35.61483359336853
