epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet34,adagrad,0.001,,0.0005,,0.9155276429176331,0.75672,1.2543869535446166,0.5453,0.5453,64.72968220710754
2,stage2,resnet34,adagrad,0.001,,0.0005,,0.7438055829048157,0.78924,1.0714111495971679,0.6112,0.6112,64.56143593788147
3,stage2,resnet34,adagrad,0.001,,0.0005,,0.6308728385353088,0.82378,0.9699515857696533,0.6527,0.6527,64.60990142822266
4,stage2,resnet34,adagrad,0.001,,0.0005,,0.5630811112117767,0.84444,0.9187692478179932,0.6784,0.6784,64.54860281944275
5,stage2,resnet34,adagrad,0.001,,0.0005,,0.5144402923870086,0.86172,0.8545794498443604,0.6981,0.6981,64.51450562477112
6,stage2,resnet34,adagrad,0.001,,0.0005,,0.47541252975463866,0.87388,0.8498895427703858,0.7003,0.7003,64.59439468383789
7,stage2,resnet34,adagrad,0.001,,0.0005,,0.4453244695949554,0.88044,0.7982675172805787,0.7234,0.7234,64.58656167984009
8,stage2,resnet34,adagrad,0.001,,0.0005,,0.41047775424480437,0.89258,0.7653406337738037,0.7346,0.7346,64.52167105674744
9,stage2,resnet34,adagrad,0.001,,0.0005,,0.3878776962184906,0.90086,0.7400083005905151,0.7426,0.7426,64.52496433258057
10,stage2,resnet34,adagrad,0.001,,0.0005,,0.36185809220314025,0.90862,0.7375521926879883,0.7448,0.7448,64.65116548538208
11,stage2,resnet34,adagrad,0.001,,0.0005,,0.3445516526889801,0.91326,0.7091883768081665,0.7493,0.7493,64.52178907394409
12,stage2,resnet34,adagrad,0.001,,0.0005,,0.3223308187007904,0.92112,0.6950253556251526,0.7571,0.7571,64.52457928657532
13,stage2,resnet34,adagrad,0.001,,0.0005,,0.30599165314674376,0.92596,0.6787094206809997,0.7719,0.7719,64.55273962020874
14,stage2,resnet34,adagrad,0.001,,0.0005,,0.29042464310646054,0.92968,0.6762690530776978,0.7709,0.7719,64.60777068138123
15,stage2,resnet34,adagrad,0.001,,0.0005,,0.2803503121471405,0.93308,0.6578958429336548,0.7727,0.7727,64.53312730789185
16,stage2,resnet34,adagrad,0.001,,0.0005,,0.26293416919231416,0.93944,0.6449121527671814,0.7849,0.7849,64.53763103485107
17,stage2,resnet34,adagrad,0.001,,0.0005,,0.256366661529541,0.94068,0.6407376963615418,0.7794,0.7849,64.61413764953613
18,stage2,resnet34,adagrad,0.001,,0.0005,,0.2388981506061554,0.9461,0.6493409899711609,0.7815,0.7849,64.59495449066162
19,stage2,resnet34,adagrad,0.001,,0.0005,,0.22918407187461853,0.94936,0.6291928087234497,0.7874,0.7874,64.52223873138428
20,stage2,resnet34,adagrad,0.001,,0.0005,,0.22156682911396028,0.95196,0.6243121946334839,0.7867,0.7874,64.51443529129028
21,stage2,resnet34,adagrad,0.001,,0.0005,,0.21066945890665054,0.95498,0.619785736656189,0.7935,0.7935,64.63651371002197
22,stage2,resnet34,adagrad,0.001,,0.0005,,0.19661010591745376,0.95986,0.6129506420135498,0.7964,0.7964,64.56844711303711
23,stage2,resnet34,adagrad,0.001,,0.0005,,0.19011744243621825,0.96138,0.6126251854896545,0.7999,0.7999,64.52979278564453
24,stage2,resnet34,adagrad,0.001,,0.0005,,0.18091274075984956,0.96396,0.6217887356758117,0.7981,0.7999,64.54573249816895
25,stage2,resnet34,adagrad,0.001,,0.0005,,0.17054525690078734,0.96772,0.622919409942627,0.7938,0.7999,64.61360692977905
26,stage2,resnet34,adagrad,0.001,,0.0005,,0.16694870059013367,0.96752,0.6167866544246674,0.7997,0.7999,64.53835391998291
27,stage2,resnet34,adagrad,0.001,,0.0005,,0.1590282435977459,0.96976,0.6190541673660278,0.7932,0.7999,64.52271723747253
28,stage2,resnet34,adagrad,0.001,,0.0005,,0.15042765230417252,0.97224,0.6319304547309875,0.7977,0.7999,64.58087515830994
29,stage2,resnet34,adagrad,0.001,,0.0005,,0.14509723955392836,0.974,0.6207600242137908,0.8018,0.8018,64.60074949264526
30,stage2,resnet34,adagrad,0.001,,0.0005,,0.13790388165950776,0.97618,0.6096435605049133,0.8028,0.8028,64.5107696056366
31,stage2,resnet34,adagrad,0.001,,0.0005,,0.13277227472782135,0.9776,0.6191158940315247,0.8004,0.8028,64.51156520843506
32,stage2,resnet34,adagrad,0.001,,0.0005,,0.12313995145320893,0.9806,0.609857200050354,0.8069,0.8069,64.62335133552551
33,stage2,resnet34,adagrad,0.001,,0.0005,,0.11904416530847549,0.98142,0.6009015231132507,0.8096,0.8096,64.57816004753113
34,stage2,resnet34,adagrad,0.001,,0.0005,,0.11370163450956344,0.9829,0.5999239419937133,0.809,0.8096,64.52821969985962
35,stage2,resnet34,adagrad,0.001,,0.0005,,0.10782246234059334,0.98376,0.6143177762508393,0.8067,0.8096,64.5498480796814
36,stage2,resnet34,adagrad,0.001,,0.0005,,0.10277688594341278,0.98554,0.6134107725143433,0.8069,0.8096,64.63076853752136
37,stage2,resnet34,adagrad,0.001,,0.0005,,0.09902268831014634,0.98534,0.6058016832351685,0.808,0.8096,64.55550336837769
38,stage2,resnet34,adagrad,0.001,,0.0005,,0.09517800378799439,0.98718,0.6212904227256775,0.805,0.8096,64.50921368598938
39,stage2,resnet34,adagrad,0.001,,0.0005,,0.0919945723259449,0.98752,0.5972499335765838,0.8163,0.8163,64.57400012016296
40,stage2,resnet34,adagrad,0.001,,0.0005,,0.08729994037151337,0.98878,0.6267630926132202,0.809,0.8163,64.61162853240967
41,stage2,resnet34,adagrad,0.001,,0.0005,,0.0824131379187107,0.99036,0.6150507712364197,0.8084,0.8163,64.54245328903198
42,stage2,resnet34,adagrad,0.001,,0.0005,,0.08005504891633987,0.99074,0.6079684446334839,0.8109,0.8163,64.51246762275696
43,stage2,resnet34,adagrad,0.001,,0.0005,,0.0767488095486164,0.9911,0.618411878490448,0.8129,0.8163,64.60421800613403
44,stage2,resnet34,adagrad,0.001,,0.0005,,0.0718932442855835,0.9924,0.6117226306915283,0.8127,0.8163,64.58937883377075
45,stage2,resnet34,adagrad,0.001,,0.0005,,0.06927239992856979,0.99288,0.612535362148285,0.8134,0.8163,64.52304315567017
46,stage2,resnet34,adagrad,0.001,,0.0005,,0.06599369348287583,0.99326,0.6336467434883117,0.8125,0.8163,64.50883364677429
47,stage2,resnet34,adagrad,0.001,,0.0005,,0.06183703596234322,0.99444,0.6194731327056885,0.8118,0.8163,64.65347933769226
48,stage2,resnet34,adagrad,0.001,,0.0005,,0.06001675525188446,0.9945,0.6188748477935792,0.814,0.8163,64.5856568813324
49,stage2,resnet34,adagrad,0.001,,0.0005,,0.060268633798360824,0.99394,0.6211844831466675,0.8115,0.8163,64.5389609336853
50,stage2,resnet34,adagrad,0.001,,0.0005,,0.05618904962062836,0.99528,0.6303947415351868,0.8135,0.8163,64.5489993095398
51,stage2,resnet34,adagrad,0.001,,0.0005,,0.053086064218878744,0.99558,0.6145373985290528,0.8164,0.8164,64.62242388725281
52,stage2,resnet34,adagrad,0.001,,0.0005,,0.05021790462076664,0.99566,0.6466842471122741,0.8118,0.8164,64.5273551940918
53,stage2,resnet34,adagrad,0.001,,0.0005,,0.049223099757432935,0.99624,0.6458428469181061,0.8126,0.8164,64.52293229103088
54,stage2,resnet34,adagrad,0.001,,0.0005,,0.04637561492681503,0.99684,0.638766918373108,0.8163,0.8164,64.58521866798401
55,stage2,resnet34,adagrad,0.001,,0.0005,,0.04446139091670513,0.99694,0.6395631865501403,0.8154,0.8164,64.62044382095337
56,stage2,resnet34,adagrad,0.001,,0.0005,,0.043088301247358324,0.99724,0.6518564559936524,0.8139,0.8164,64.53004860877991
57,stage2,resnet34,adagrad,0.001,,0.0005,,0.041119223751425744,0.9974,0.6561918049812316,0.8125,0.8164,64.53487157821655
58,stage2,resnet34,adagrad,0.001,,0.0005,,0.039293233073949815,0.9977,0.6598181541442871,0.8108,0.8164,64.61214423179626
59,stage2,resnet34,adagrad,0.001,,0.0005,,0.03826556214809418,0.9978,0.6543138807296753,0.8129,0.8164,64.57106733322144
60,stage2,resnet34,adagrad,0.001,,0.0005,,0.035640855702161786,0.9983,0.6517390762329102,0.8172,0.8172,64.52128005027771
61,stage2,resnet34,adagrad,0.001,,0.0005,,0.03480873641610146,0.99832,0.6602643974304199,0.8146,0.8172,64.54966139793396
62,stage2,resnet34,adagrad,0.001,,0.0005,,0.0336880162024498,0.99834,0.6542515964508057,0.8144,0.8172,64.62600898742676
63,stage2,resnet34,adagrad,0.001,,0.0005,,0.032264365607500074,0.99852,0.6624527772903442,0.8154,0.8172,64.54272556304932
64,stage2,resnet34,adagrad,0.001,,0.0005,,0.031071366225481033,0.9987,0.6633075225830078,0.8139,0.8172,64.53511500358582
65,stage2,resnet34,adagrad,0.001,,0.0005,,0.029467411213219167,0.9989,0.6666635811805726,0.813,0.8172,64.57697010040283
66,stage2,resnet34,adagrad,0.001,,0.0005,,0.028963673362731934,0.99908,0.6605785114288331,0.8199,0.8199,64.60121703147888
67,stage2,resnet34,adagrad,0.001,,0.0005,,0.028106700640022755,0.999,0.6605318167686463,0.8162,0.8199,64.54396891593933
68,stage2,resnet34,adagrad,0.001,,0.0005,,0.02740816008627415,0.99888,0.6690529108047485,0.8186,0.8199,64.52370595932007
69,stage2,resnet34,adagrad,0.001,,0.0005,,0.026148101275265217,0.99898,0.6607727488517762,0.8212,0.8212,64.615793466568
70,stage2,resnet34,adagrad,0.001,,0.0005,,0.024674822003245354,0.99928,0.6766738361358643,0.8158,0.8212,64.58969783782959
71,stage2,resnet34,adagrad,0.001,,0.0005,,0.024955394889116286,0.99912,0.6717898221969605,0.818,0.8212,64.51687288284302
72,stage2,resnet34,adagrad,0.001,,0.0005,,0.02376586010873318,0.99934,0.6932277778625489,0.8144,0.8212,64.51303029060364
73,stage2,resnet34,adagrad,0.001,,0.0005,,0.02311836088627577,0.99936,0.6684834184646606,0.82,0.8212,64.62919330596924
74,stage2,resnet34,adagrad,0.001,,0.0005,,0.02206967220723629,0.99956,0.6641591627120972,0.8209,0.8212,64.56441593170166
75,stage2,resnet34,adagrad,0.001,,0.0005,,0.021866633805632592,0.99938,0.6602915465354919,0.8228,0.8228,64.52456283569336
76,stage2,resnet34,adagrad,0.001,,0.0005,,0.02084847750902176,0.99948,0.6736425385475159,0.8197,0.8228,64.55046391487122
77,stage2,resnet34,adagrad,0.001,,0.0005,,0.019680653432011603,0.9997,0.6969172941207886,0.8183,0.8228,64.62252187728882
78,stage2,resnet34,adagrad,0.001,,0.0005,,0.019428434035778045,0.99964,0.6884201501369477,0.8189,0.8228,64.5392074584961
79,stage2,resnet34,adagrad,0.001,,0.0005,,0.01908937115728855,0.99966,0.6973477890014649,0.817,0.8228,64.53156280517578
80,stage2,resnet34,adagrad,0.001,,0.0005,,0.01852053678959608,0.99966,0.6859266587257385,0.8197,0.8228,64.60014653205872
81,stage2,resnet34,adagrad,0.001,,0.0005,,0.018337528965473176,0.9997,0.6998315203666687,0.8175,0.8228,64.60356187820435
82,stage2,resnet34,adagrad,0.001,,0.0005,,0.01756844717025757,0.99972,0.6823110951423645,0.8243,0.8243,64.54130935668945
83,stage2,resnet34,adagrad,0.001,,0.0005,,0.01707318091005087,0.99978,0.7000618816375732,0.8165,0.8243,64.5030107498169
84,stage2,resnet34,adagrad,0.001,,0.0005,,0.016559285609424115,0.99978,0.7035679059982299,0.82,0.8243,64.61408495903015
85,stage2,resnet34,adagrad,0.001,,0.0005,,0.016547278075814246,0.99972,0.700246079158783,0.8183,0.8243,64.57182741165161
86,stage2,resnet34,adagrad,0.001,,0.0005,,0.01587506817638874,0.99976,0.678191987323761,0.8243,0.8243,64.53617405891418
87,stage2,resnet34,adagrad,0.001,,0.0005,,0.015233559746146203,0.99982,0.7405944107055664,0.8144,0.8243,64.55409860610962
