epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,1.8584879489517212,0.3197,1.646615591621399,0.4009,0.4009,39.21410369873047
2,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,1.392581496963501,0.48618,1.4850225820541383,0.469,0.469,38.85235643386841
3,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,1.164019685535431,0.57924,1.278939838409424,0.5363,0.5363,38.76993417739868
4,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,1.0399361644172669,0.62892,1.3791413436889648,0.5084,0.5363,38.705902338027954
5,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.980132206401825,0.65052,1.453215824317932,0.508,0.5363,38.33146142959595
6,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.9423180271720886,0.66706,1.1168836757659912,0.6067,0.6067,38.55502414703369
7,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.9139138827133179,0.6771,1.197709110069275,0.5836,0.6067,38.76120209693909
8,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.8958605647277832,0.68468,1.0800253993988038,0.6276,0.6276,38.3538453578949
9,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.8677200276184082,0.6969,1.2845815076828002,0.5765,0.6276,38.61008024215698
10,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.8550702676010132,0.7007,1.242139826965332,0.5925,0.6276,38.48661828041077
11,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.8271514073181152,0.7109,1.1785522039413452,0.5951,0.6276,38.25771427154541
12,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.8132117775154114,0.71968,1.5640496088027953,0.5409,0.6276,38.43802356719971
13,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.8014558986473084,0.7229,1.0909456953048706,0.6323,0.6323,38.46640062332153
14,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7914029725837708,0.72744,1.0015351968765258,0.6498,0.6498,38.544541120529175
15,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7704717077255249,0.73266,0.8863795013427734,0.6917,0.6917,38.6322922706604
16,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7596583181381226,0.73776,1.1140477577209473,0.6231,0.6917,38.44777250289917
17,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7532960831069946,0.7405,1.1859179040908814,0.6141,0.6917,38.36962032318115
18,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7475293616104126,0.74158,1.18410596408844,0.6132,0.6917,38.437278509140015
19,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7360258262252808,0.74826,1.2409451848983766,0.5945,0.6917,38.57153296470642
20,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7332213786315918,0.7494,0.9149613358497619,0.6798,0.6917,38.53201746940613
21,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7299856105232239,0.75044,1.1426179273605346,0.6469,0.6917,38.403090715408325
22,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7267818707466126,0.75022,1.0924715211868286,0.6417,0.6917,38.317389726638794
23,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7222184853553772,0.75414,1.1242943058013917,0.637,0.6917,38.38448214530945
24,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7211237120437622,0.75296,0.9774082113265992,0.6706,0.6917,38.43125677108765
25,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7187845161819458,0.7535,1.0188231658935547,0.6468,0.6917,38.51543641090393
26,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7197610441398621,0.75472,1.0747541549682618,0.6552,0.6917,38.31321907043457
27,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7195662770080566,0.75368,0.9138850994110107,0.6794,0.6917,38.44160747528076
28,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7134043368148804,0.75664,1.2055303396224974,0.6238,0.6917,38.406368017196655
29,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.711082880935669,0.75822,1.2333793125152588,0.6055,0.6917,38.351722955703735
30,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7108381988716126,0.75758,1.518476762008667,0.5354,0.6917,38.69525957107544
31,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7108037436294555,0.75472,1.0528278285980224,0.6518,0.6917,38.50293302536011
32,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7114595899581909,0.75902,1.1855202796936035,0.6328,0.6917,38.39024496078491
33,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.712448343334198,0.75694,1.4513973850250244,0.5779,0.6917,38.51846718788147
34,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7052647944259643,0.76036,1.324415438079834,0.577,0.6917,38.42288851737976
35,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7114465645980835,0.75866,1.6244940187454224,0.543,0.6917,38.538408517837524
36,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7040538565444946,0.75874,0.968867685508728,0.679,0.6917,38.3971426486969
37,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7042938107681275,0.76172,1.3755128524780273,0.5784,0.6917,38.64068412780762
38,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7029491031646729,0.75958,0.9837610473632813,0.6663,0.6917,38.64607381820679
39,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7002394670677186,0.76112,1.0364037487983704,0.6512,0.6917,38.45215034484863
40,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7020959548377991,0.7597,1.035017248725891,0.6582,0.6917,38.418882608413696
41,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7000179141807557,0.75912,1.0867296899795533,0.6461,0.6917,38.29517579078674
42,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.7018723379707337,0.7598,0.8989135969161988,0.6843,0.6917,38.39143776893616
43,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6996671307373047,0.75976,0.9066443884849549,0.6799,0.6917,38.33491039276123
44,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6960770310211182,0.7629,1.435043391418457,0.5677,0.6917,38.5572452545166
45,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6979932382965088,0.76248,0.9780344707489014,0.682,0.6917,38.344250440597534
46,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.699653944644928,0.7605,1.4906086719512939,0.5655,0.6917,38.346774101257324
47,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6933299930000305,0.76388,0.973093798828125,0.6748,0.6917,38.35847282409668
48,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6947252378082276,0.76292,1.701481230545044,0.5343,0.6917,38.36421227455139
49,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6938191172027588,0.76462,1.3887851396560669,0.5909,0.6917,38.38108420372009
50,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.690957160987854,0.76666,1.0035561479568482,0.6639,0.6917,38.43954801559448
51,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.695981413230896,0.76206,1.1343290367126464,0.6283,0.6917,38.51760792732239
52,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6901923712730408,0.765,0.8592820404052735,0.7035,0.7035,38.43882179260254
53,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6967133923339843,0.76072,0.8517652024269105,0.7015,0.7035,38.691948652267456
54,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.692227407875061,0.7658,0.9001440207481384,0.69,0.7035,38.58190941810608
55,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6919094703102112,0.76584,1.019277825832367,0.6615,0.7035,38.43795299530029
56,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6894472418785095,0.76394,0.9197673543930054,0.6858,0.7035,38.43980431556702
57,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6897102904891967,0.7653,0.8689857498168946,0.6983,0.7035,38.42111563682556
58,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6939482903480529,0.76224,1.1648022792816162,0.6109,0.7035,38.43402338027954
59,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6906959642028808,0.7657,0.9940301658630372,0.6534,0.7035,38.49329328536987
60,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.69270799949646,0.76618,1.0245457139968872,0.6461,0.7035,38.44368052482605
61,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6866700822830201,0.76632,0.8872260887145996,0.6924,0.7035,38.3280975818634
62,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6906222204208374,0.76498,0.9844876211166382,0.6774,0.7035,38.27819085121155
63,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6859866711235046,0.76526,1.1146743347167969,0.6283,0.7035,38.67823076248169
64,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6946142360496521,0.76402,0.9838931735992431,0.6678,0.7035,38.48203444480896
65,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6942773272705078,0.76588,1.23546527633667,0.6303,0.7035,38.45323085784912
66,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6912856902694702,0.76608,1.0552302194595338,0.6523,0.7035,38.57397198677063
67,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6905282950019836,0.76548,0.8925412838935852,0.6925,0.7035,38.5308039188385
68,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.692090234260559,0.76278,1.0865242181777954,0.6375,0.7035,38.43370771408081
69,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6884899463653564,0.76562,0.936264715385437,0.685,0.7035,38.518372535705566
70,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6904128120040893,0.76352,1.0155768762588502,0.6608,0.7035,38.34821438789368
71,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6947830996322631,0.7627,1.1544424699783324,0.6088,0.7035,38.5107147693634
72,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6911460777664185,0.76442,0.8930138442993164,0.6879,0.7035,38.3648247718811
73,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6884878368759155,0.76674,1.0202374244689942,0.6558,0.7035,38.44273638725281
74,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6885120550537109,0.76646,1.2408116605758668,0.6155,0.7035,38.42922520637512
75,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6904077757072449,0.76236,0.9952942722320557,0.6618,0.7035,38.51550507545471
76,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6881428941726685,0.766,1.072971205329895,0.6492,0.7035,38.46361947059631
77,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6951831410980225,0.76444,0.9104873092651368,0.6911,0.7035,38.55325508117676
78,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6881610778617859,0.76614,0.8599469165802002,0.7015,0.7035,38.37739324569702
79,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6881440281105041,0.76558,0.9475059268951416,0.6716,0.7035,38.35832476615906
80,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6864814479446412,0.76722,0.8350416753768921,0.7055,0.7055,38.44642901420593
81,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6848380583286285,0.7676,0.917669038772583,0.6812,0.7055,38.573506593704224
82,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6928567507553101,0.76322,1.030009766960144,0.6619,0.7055,38.408472299575806
83,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6838644559478759,0.76782,1.0964399629592896,0.6421,0.7055,38.30616235733032
84,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6896879260444642,0.7654,0.8587158359527588,0.7032,0.7055,38.412718296051025
85,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6902740215873718,0.76524,0.9408357745170594,0.6809,0.7055,38.30712080001831
86,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6903524958610535,0.76634,0.9197135900497436,0.6779,0.7055,38.40036463737488
87,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6887485819244384,0.76446,1.0971713523864746,0.6248,0.7055,38.40430927276611
88,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6888178803825379,0.76682,1.060262840652466,0.6565,0.7055,38.35352039337158
89,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6876969795799255,0.76544,1.313092636680603,0.5831,0.7055,38.48628282546997
90,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6931409522247315,0.7631,0.9335925669670105,0.6714,0.7055,38.398802757263184
91,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6874794094848633,0.76556,0.8860274529457093,0.707,0.707,38.62751770019531
92,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6883902445793152,0.76674,1.139492823410034,0.6192,0.707,38.45790481567383
93,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6928193277549743,0.76392,1.006570800971985,0.6616,0.707,38.39108061790466
94,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6847117445755004,0.76916,0.9740352507591248,0.6714,0.707,38.591721296310425
95,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6934216375923157,0.76424,1.0343095463752747,0.6577,0.707,38.472885847091675
96,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6908009801101684,0.76508,1.1675704853057862,0.6313,0.707,38.46789216995239
97,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6920318771934509,0.764,1.0849519626617432,0.6417,0.707,38.44359254837036
98,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6889838397216796,0.76422,1.5243289455413818,0.5623,0.707,38.27785682678223
99,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.6861876383781433,0.76624,0.9506003673553467,0.6711,0.707,38.45779752731323
100,stage2,resnet18,rmsprop,0.001,0.9,0.0005,,0.68805520154953,0.76872,1.0115195470809937,0.6627,0.707,38.64847683906555
