method,best_epoch,best_test_acc,source
Previous Best SAM lr=0.01 rho=0.1,97,0.9419,results/logs/stage2_resnet18_cifar10_sam_lr0.01_ep100_seed42_rho0.1.csv
"Dynamic ImprovedSAM lr=0.01, rho=0.001-0.05",70,0.9161,current_run
